code,eia_name,eia_1980,eia_1981,eia_1982,eia_1983,eia_1984,eia_1985,eia_1986,eia_1987,eia_1988,eia_1989,eia_1990,eia_1991,eia_1992,eia_1993,eia_1994,eia_1995,eia_1996,eia_1997,eia_1998,eia_1999,eia_2000,eia_2001,eia_2002,eia_2003,eia_2004,eia_2005
CMR,Cameroon,1.4320000000000002,1.883,2.13,2.096,2.191,2.381,2.355,2.362,2.553,2.6679999999999997,2.675,2.71,2.695,2.699,2.738,2.811,2.928,3.095,3.134,3.34,3.444,3.5020000000000002,3.261,3.64,4.06,4.09
TCD,Chad,0.044,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.082,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.092,0.092,0.093,0.094,0.095
COD,Congo (Kinshasa),4.388,4.293,4.224,4.561,4.776,5.11,5.342,5.327,5.3309999999999995,5.8660000000000005,5.593,5.227,6.011,5.489,5.258,6.114000000000001,6.047000000000001,4.992,4.68,5.266,5.957,5.838,6.042,6.380999999999999,6.7829999999999995,7.341
CIV,Cote d'Ivoire (IvoryCoast),1.713,1.875,1.919,1.9929999999999999,1.558,1.965,2.017,2.3689999999999998,2.233,2.444,2.221,1.8119999999999998,1.666,2.123,2.3970000000000002,2.9619999999999997,3.127,3.8470000000000004,3.831,4.627,4.6,4.682,5.063,4.8740000000000006,5.167,5.305
EGY,Egypt,18.256,20.497999999999998,19.939,22.487000000000002,29.316000000000003,32.3,33.484,36.744,35.400999999999996,37.695,41.408,42.56,43.495999999999995,47.751,50.06,52.681,51.755,55.522000000000006,59.799,65.174,72.134,76.644,85.618,90.066,95.885,102.453
ETH,Ethiopia,0.675,0.704,0.7789999999999999,0.8390000000000001,0.8890000000000001,0.9460000000000001,1.005,1.1580000000000001,1.232,1.279,1.265,1.278,1.2810000000000001,1.5059999999999998,1.492,1.507,1.583,1.626,1.634,1.6317,1.6709999999999998,1.9929999999999999,2.01995,2.29595,2.534,2.864
GHA,Ghana,5.309,5.382000000000001,4.981,2.61,1.899,3.077,4.4590000000000005,4.6819999999999995,4.8629999999999995,5.223,5.707,6.1160000000000005,6.575,6.249,6.059,6.053999999999999,6.585,6.816,4.525,5.828,7.116,7.718,7.11,5.74,5.941,6.648
GIN,Guinea,0.363,0.368,0.376,0.388,0.45699999999999996,0.46599999999999997,0.474,0.477,0.488,0.491,0.495,0.5,0.502,0.507,0.509,0.522,0.527,0.62,0.643,0.725,0.7430000000000001,0.77,0.772,0.775,0.775,0.765
KEN,Kenya,1.452,1.7169999999999999,1.7639999999999998,2.168,2.19,2.427,2.2560000000000002,2.398,2.79,2.85,3.04763,3.174,3.1639999999999997,3.3444920000000002,3.4810000000000003,3.8939999999999997,4.076,4.274,4.394,4.173,3.721,4.253,4.313,4.643,4.976,5.502
MDG,Madagascar,0.41700000000000004,0.42,0.431,0.45199999999999996,0.476,0.483,0.482,0.478,0.49,0.541,0.5740000000000001,0.5680000000000001,0.58,0.581,0.584,0.609,0.6639999999999999,0.695,0.75,0.777,0.78,0.785,0.78,0.885,0.966,1.046487179487179
MWI,Malawi,0.40700000000000003,0.4,0.425,0.459,0.47600000000000003,0.486,0.519,0.5720000000000001,0.577,0.58,0.71,0.757,0.783,0.786,0.8290000000000001,0.85,0.864,0.886,1.017,0.983,1.02,1.042,1.16,1.177,1.293,1.3971666666666667
MLI,Mali,0.10300000000000001,0.10300000000000001,0.127,0.147,0.164,0.167,0.198,0.215,0.23600000000000002,0.256,0.241,0.25,0.271,0.292,0.275,0.305,0.326,0.379,0.387,0.392,0.399,0.402,0.404,0.43400000000000005,0.44,0.44401999999999997
MAR,Morocco,4.921,5.4079999999999995,5.773,6.269,6.471,6.601999999999999,7.272,7.722,8.472999999999999,8.594,9.088,8.734,9.184000000000001,9.338,10.349,12.066,12.363999999999999,13.161999999999999,13.393,13.113,12.932,14.734,15.734000000000002,17.107,18.27,21.366999999999997
MOZ,Mozambique,13.56,3.48,3.121,5.18,0.6970000000000001,0.314,0.167,0.17099999999999999,0.21,0.22699999999999998,0.44100000000000006,0.459,0.40800000000000003,0.386,0.389,0.402,0.47,0.993,1.512,7.629,8.76,8.758000000000001,12.584000000000001,10.792,11.583,13.169
NER,Niger,0.122,0.136,0.122,0.14,0.128,0.144,0.146,0.148,0.15,0.153,0.155,0.158,0.161,0.163,0.165,0.165,0.166,0.219,0.22,0.222,0.224,0.226,0.228,0.23,0.232017543859649,0.234052785472453
NGA,Nigeria,6.867,7.44,8.14,8.283,8.573,9.929,11.395999999999999,10.753,11.155,12.251,12.029,13.613,14.247,13.913,14.877,13.889000000000001,14.367,14.697,14.73,15.431999999999999,14.131,14.837,18.953,19.352,20.704,22.526
RWA,Rwanda,0.117,0.107,0.136,0.154,0.164,0.165,0.153,0.168,0.171,0.175,0.169,0.167,0.17400000000000002,0.157,0.16,0.162,0.14400000000000002,0.164,0.164,0.131,0.113,0.09125,0.0996875,0.098,0.094,0.095
SEN,Senegal,0.595,0.63,0.636,0.611,0.651,0.708,0.711,0.625,0.566,0.655,0.858,0.881,0.96,0.948,0.979,1.021,1.086,1.168,1.23,1.267,1.389,1.554,1.698,1.837,1.9909999999999999,2.2230000000000003
SOM,Somalia,0.113,0.075,0.08,0.1,0.132,0.208,0.238,0.24,0.242,0.243,0.246,0.249,0.249,0.252,0.255,0.256,0.259,0.259,0.26,0.261,0.265,0.265,0.265,0.267,0.269015094339623,0.27
ZAF,South Africa,93.07300000000001,106.93900000000001,111.932,113.89,127.414,133.257,138.29399999999998,142.03,148.153,153.412,156.029,158.884,157.096,163.286,170.725,176.068,187.006,196.02100000000002,191.908,189.397,196.459,197.81900000000002,205.72600000000003,215.979,227.292,228.334
SDN,Sudan,0.9630000000000001,0.951,1.014,1.014,1.085,1.264,1.268,1.274,1.2810000000000001,1.29,1.472,1.6139999999999999,1.59,1.6390000000000002,1.803,1.8,1.9929999999999999,2.073,1.9009999999999998,2.338,2.362,2.4690000000000003,2.787,3.2110000000000003,3.702,3.944
TZA,Tanzania,1.208,1.2489999999999999,1.262,1.304,1.336,1.35,1.314,1.4089999999999998,1.435,1.595,1.692,1.873,1.79,1.847,1.676,1.808,1.959,1.66,2.407,2.3459999999999996,2.435,2.795,2.819,2.6260000000000003,2.447,1.88
TUN,Tunisia,2.621,2.83,2.975,3.5029999999999997,3.8129999999999997,3.962,3.952,4.281,4.622999999999999,4.793,5.205,5.404,5.812,5.936999999999999,6.314,6.872000000000001,7.457,8.004,8.562999999999999,9.405,9.964,10.714,11.135,11.675999999999998,12.293,12.848
UGA,Uganda,0.634,0.52,0.5630000000000001,0.517,0.616,0.632,0.644,0.614,0.585,0.682,0.766,0.7753,0.9823,0.9672,1.0065,1.0449,1.1176,1.251,1.2659999999999998,1.264,1.557,1.552,1.675,1.757,1.8929999999999998,1.9829999999999999
